Cross-sectional area,90-degree ampacity
5.46E-06,120.885
6.55E-06,197.161
7.65E-06,181.199
8.74E-06,143.75
9.83E-06,165
1.09E-05,176.355
6.00E-05,16.07954545
4.00E-05,3.843537415
2.00E-05,3.966817496
